class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
GUARDIAN,1.3,0.00034877329130514356,0.0010183212023995643,28.33671773568795,80.57670175413436,91.08521341568398,86.75745951293987,132,2.5812320709228516,13100,10400
GUARDIAN,1.3,8.804372611581025e-14,1.334206573639972e-13,28.333932151163726,80.64295802311372,91.02310982572233,86.7582910301675,484,9.455511093139648,48300,38573
GUARDIAN,1.3,1.0656434587070868e-12,2.5276822015594585e-12,28.33394987051493,80.64271260209674,91.02333752738473,86.75829103122337,457,8.920470952987671,45600,36318
GUARDIAN,1.3,5.988910583525142e-14,7.86727198267765e-14,28.33492785747926,80.64171807063286,91.02335407188777,86.75829103193837,545,10.622158765792847,54400,43437
GUARDIAN,1.3,7.822820325485495e-08,1.0644845141458559e-07,28.334920936764256,80.64164934186138,91.0234295366977,86.75829092597965,252,4.9009177684783936,25100,19989
GUARDIAN,1.3,2.7809670734456938e-11,3.981545087965898e-11,28.334549943689247,80.64208766782514,91.02336238841798,86.75829103283498,429,8.367270231246948,42800,34279
GUARDIAN,1.3,5.816782418304773e-14,6.107207954607976e-14,28.333739612445598,80.64353104214236,91.02272934541193,86.7582910235138,573,11.256262063980103,57200,45861
GUARDIAN,1.3,8.560121563482827e-10,5.937997436797671e-10,28.32697667525874,80.64898707411247,91.02403624917898,86.7582907552901,342,6.667282819747925,34100,27401
GUARDIAN,1.3,2.9767914348848678e-08,3.730884177803e-08,28.33555264587153,80.63865207570565,91.02579521134606,86.75829089012264,279,5.438122987747192,27800,22197
GUARDIAN,1.3,6.120717543721578e-14,5.418631009385596e-14,28.333480305873344,80.64358331099784,91.02293638312871,86.75829102324055,498,9.76525592803955,49700,39786
