class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9153530276949278,91.02024025760733,80.63643775984113,28.343321918644225,2.770057717783342e-08,3.620676600328001e-08,81.94397366506354,298,25.56578493118286,29700,17792
WIZARD,1.9147824667661135,91.02352335730347,80.64221384301851,28.33426279967661,9.078300303751074e-13,5.079902119350568e-13,81.94383060946281,517,41.863128900527954,51600,30860
WIZARD,1.9151574067308292,91.02396124335799,80.6417106333385,28.334328123212003,2.7993967513424726e-11,6.351655446952384e-11,81.94399886242367,410,34.35916185379028,40900,24458
WIZARD,1.9158220675916886,91.01737788106371,80.64075185239149,28.341854381531835,7.6143147748909725e-06,8.270698202885963e-06,81.94358977155899,203,16.715336799621582,20200,12066
WIZARD,1.914515668573478,91.02259866028595,80.62581257296435,28.35157086221159,1.0097614624604048e-05,7.806923489868397e-06,81.94352775924999,186,15.501886129379272,18500,11213
WIZARD,1.915167143749493,91.02307732564012,80.64253779014815,28.334384884211527,1.0755332285594563e-13,9.516022375530753e-14,81.94399945924022,524,49.07482600212097,52300,31330
WIZARD,1.9150760301120127,91.02339597954241,80.64283954380969,28.333764476112407,2.384412153666321e-10,2.970686292820798e-10,81.94398643333986,429,37.70535898208618,42800,25741
WIZARD,1.9151910419442786,91.02318957947335,80.63136718792923,28.345443232597308,6.888128668542635e-14,9.022870559760126e-14,81.94399949734712,551,47.85484004020691,55000,32845
WIZARD,1.9150079288510624,91.0202406236215,80.6283453172755,28.35141404212063,6.194847267741011e-09,1.0787547133778691e-08,81.94396456477048,360,31.77028489112854,35900,21453
WIZARD,1.9159268806235548,91.0241046019921,80.5627543125467,28.413087660495993,3.238505375092868e-05,2.1039911432887075e-05,81.94339285502691,159,13.690858125686646,15800,9518
