class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.8985897085917083,73.27963389871483,77.07594581232026,33.550666363079394,13.83732541444373,2.256428511441785,71.63647262650987,7,2.220824718475342,600,423
WIZARD,1.9701873460613513,88.05448724062659,87.77242803909681,4.222129921409251,19.915851021209306,0.03510377765804624,67.19497909479935,7,1.8635571002960205,600,452
WIZARD,1.834081756514464,84.38464260629776,80.17947894845885,30.066292146884553,4.352063281797158,1.0175230165616826,74.29484869173126,23,9.027032136917114,2200,1561
WIZARD,1.8743806710203248,73.51112694674143,77.45392856573463,41.990738351772265,5.036345694807866,2.0078604409438343,74.61391399319143,8,2.597456216812134,700,492
WIZARD,1.8566088614752447,84.16541405790439,56.02381875855762,50.41369203310432,1.2774801652414542,8.119594985192233,71.86937353890583,21,7.715873956680298,2000,1414
WIZARD,1.9327482232640882,78.75644897522947,82.02003730111208,27.71176135407155,2.5818262848775997,8.929926084709294,75.11454255351242,7,1.9565458297729492,600,421
WIZARD,1.7742364628075222,92.54051946444586,78.182198245334,23.484545586942094,1.7264004111275175,4.066336292150505,68.531555311372,9,3.3642711639404297,800,557
WIZARD,1.9461774978807895,78.53869665952985,108.83678634071633,8.806983446750856,3.4672669647066514,0.3502665882962943,74.91671166234097,10,3.996155023574829,900,630
WIZARD,1.968572249843851,104.46515629201457,61.87701804175774,20.865047979600657,6.660197315906035,6.132580370721009,68.86974241841162,7,2.588486909866333,600,434
WIZARD,1.914108104991027,105.49376547937904,69.51783215577039,17.03137165567433,1.4436904753327997,6.5133402338434445,75.25298177785315,11,3.565380811691284,1000,694
