class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9151179545899268,91.02706957570201,80.64916479708437,28.323765627213497,6.749392535949604e-14,9.047492560794739e-14,81.9439940417729,416,85.95777297019958,41500,33138
WIZARD,1.9150790441985521,91.02456094395787,80.64112750128338,28.33431155394215,4.164463868682797e-10,4.0018168374940855e-10,81.94398711617897,261,51.98047089576721,26000,20872
WIZARD,1.9150840293003017,91.0230651413984,80.64198944591347,28.334945412687393,5.442751955426664e-13,2.097133199501106e-13,81.94398825076524,390,76.55943703651428,38900,31342
WIZARD,1.915590059424238,91.02254972205549,80.65468551599572,28.322764761948708,6.766642217060651e-14,7.083316570184128e-14,81.94383924782692,405,84.33907985687256,40400,32243
WIZARD,1.9143805452227474,91.02333042141805,80.64390366944792,28.332765906538487,1.3752436803747124e-09,1.2202840242745623e-09,81.94333624502728,248,50.89759683609009,24700,19728
WIZARD,1.9152466320164838,91.02307880797184,80.64193008169414,28.33499111033396,3.533120876877362e-14,3.805735320171678e-14,81.94399712287583,395,80.72974705696106,39400,31522
WIZARD,1.915255199668601,91.02322464992794,80.6384946269264,28.338280723145612,3.66001147218361e-14,3.928071516099796e-14,81.94399603909127,428,86.95278096199036,42700,34244
WIZARD,1.9151915720241126,91.0231852947513,80.6421708928129,28.334643812435715,4.496458825405778e-14,6.893205931617676e-14,81.94400010101185,393,81.64439105987549,39200,31454
WIZARD,1.9151339773236236,91.02317779796918,80.64219863788765,28.334623564143072,9.647212301597676e-14,6.994214467671566e-14,81.94399665973341,382,76.70953702926636,38100,30475
WIZARD,1.915486190245096,91.02195335344551,80.6438292817226,28.33421736483181,3.8093020212207885e-14,6.225703444677696e-14,81.94391273637758,366,73.21648097038269,36500,29330
