class,height,strength,skill,intelligence,courage,physique,fitness,generationCount,executionTime,childrenCount,mutationCount
WIZARD,1.9167025009607235,90.8801401467067,80.54355315664976,28.537921701998595,0.02113005680465602,0.017254937840276034,81.9212130910765,63,8.77181100845337,6200,4998
WIZARD,1.9150526499041267,91.05090224518054,80.65164722395971,28.297429774278747,1.0825465215929462e-05,9.93111576535434e-06,81.94396124874092,209,20.53966498374939,20800,16619
WIZARD,1.9163879341338244,91.04310550349591,80.5507307831005,28.385697605872313,0.007884836082272736,0.012581271448989262,81.93185203284636,88,8.729291915893555,8700,6963
WIZARD,1.914268503246709,90.87483527677841,80.64134476313498,28.471903563333754,0.0024465187301724173,0.009469878022678702,81.93683246917708,74,7.097428798675537,7300,5698
WIZARD,1.9152467437988223,91.02159753258977,80.64275344099583,28.335649026382946,1.081658953216328e-11,2.062991303734866e-11,81.94399708969257,493,47.74879169464111,49200,39172
WIZARD,1.9147928310916535,90.96662535178773,80.69532266621425,28.33482549834951,0.0013647207301397115,0.0018617629183463047,81.94212001533072,134,13.858591318130493,13300,10624
WIZARD,1.9145859212782645,91.02296755039802,80.61562049607171,28.361411376526988,3.936450672698102e-07,1.8335821181156415e-07,81.94362541231678,316,30.5974280834198,31500,25224
WIZARD,1.915074338337456,91.02342312459338,80.64239317177876,28.334183703478004,8.822422743747688e-11,6.163098011476816e-11,81.94398603534285,435,42.244078159332275,43400,34856
WIZARD,1.916047546237499,91.06203919776877,80.7034528675013,28.23388436383218,0.00024481266196109186,0.0003787582357985388,81.94289324032371,149,15.068174839019775,14800,11829
WIZARD,1.9153559902583728,90.99321152641751,80.64234963129371,28.364243587159866,0.00011672790600299257,7.852722291367271e-05,81.94386160927188,178,17.475794076919556,17700,14196
