epoch,trainingMSE,testingMSE
0,1544.85006032362,1544.85006032362
1,1419.1297073717249,1419.1297073717249
2,1306.3290751589734,1306.3290751589734
3,1204.8227349020779,1204.8227349020779
4,1113.2329555800377,1113.2329555800377
5,1030.3865698019906,1030.3865698019906
6,955.2799302693846,955.2799302693846
7,887.0503817732013,887.0503817732013
8,824.9529859720606,824.9529859720606
9,768.3414859945482,768.3414859945482
10,716.6526977734412,716.6526977734412
11,669.3936749883263,669.3936749883263
12,626.131122579598,626.131122579598
13,586.4826363992687,586.4826363992687
14,550.1094287914366,550.1094287914366
15,516.7102658281912,516.7102658281912
16,486.01639482455965,486.01639482455965
17,457.787283222868,457.787283222868
18,431.8070240533926,431.8070240533926
19,407.881290607581,407.881290607581
20,385.834745031879,385.834745031879
21,365.50882332752155,365.50882332752155
22,346.7598335748752,346.7598335748752
23,329.45731577043324,329.45731577043324
24,313.48262101494566,313.48262101494566
25,298.72767535839347,298.72767535839347
26,285.09389974087196,285.09389974087196
27,272.4912624477511,272.4912624477511
28,260.83744454714883,260.83744454714883
29,250.057102077744,250.057102077744
30,240.08121144974237,240.08121144974237
31,230.84648672742983,230.84648672742983
32,222.29485927143077,222.29485927143077
33,214.37301170756433,214.37301170756433
34,207.03195941742607,207.03195941742607
35,200.22667376217288,200.22667376217288
36,193.91574209470642,193.91574209470642
37,188.0610603182053,188.0610603182053
38,182.62755433638407,182.62755433638407
39,177.5829272336889,177.5829272336889
40,172.89742943868447,172.89742943868447
41,168.5436494747992,168.5436494747992
42,164.49632320047894,164.49632320047894
43,160.7321596946984,160.7321596946984
44,157.2296821610728,157.2296821610728
45,153.96908241056093,153.96908241056093
46,150.9320876438836,150.9320876438836
47,148.10183839439873,148.10183839439873
48,145.46277661361248,145.46277661361248
49,143.00054298754736,143.00054298754736
50,140.70188266513958,140.70188266513958
51,138.5545586615945,138.5545586615945
52,136.54727227180257,136.54727227180257
53,134.66958989283316,134.66958989283316
54,132.91187571130408,132.91187571130408
55,131.26522976201753,131.26522976201753
56,129.72143090945272,129.72143090945272
57,128.27288434419552,128.27288434419552
58,126.91257322274149,126.91257322274149
59,125.63401411182736,125.63401411182736
60,124.43121592795003,124.43121592795003
61,123.29864208939239,123.29864208939239
62,122.23117562220398,122.23117562220398
63,121.22408698346173,121.22408698346173
64,120.27300438499687,120.27300438499687
65,119.37388641883584,119.37388641883584
66,118.5229968020443,118.5229968020443
67,117.71688107364604,117.71688107364604
68,116.95234508996371,116.95234508996371
69,116.22643517721436,116.22643517721436
70,115.53641981160557,115.53641981160557
71,114.87977270762651,114.87977270762651
72,114.25415720478206,114.25415720478206
73,113.65741185178491,113.65741185178491
74,113.08753709524993,113.08753709524993
75,112.54268298730027,112.54268298730027
76,112.02113783326048,112.02113783326048
77,111.521317706819,111.521317706819
78,111.04175676574917,111.04175676574917
79,110.58109830651901,110.58109830651901
80,110.13808650094411,110.13808650094411
81,109.71155876247016,109.71155876247016
82,109.30043869375292,109.30043869375292
83,108.9037295709591,108.9037295709591
84,108.52050832366827,108.52050832366827
85,108.14991997244144,108.14991997244144
86,107.79117248905315,107.79117248905315
87,107.44353204708814,107.44353204708814
88,107.1063186330921,107.1063186330921
89,106.77890199076307,106.77890199076307
90,106.46069787278488,106.46069787278488
91,106.15116457685677,106.15116457685677
92,105.84979974427083,105.84979974427083
93,105.55613740105049,105.55613740105049
94,105.26974522319327,105.26974522319327
95,104.99022200897434,104.99022200897434
96,104.7171953425699,104.7171953425699
97,104.45031943446311,104.45031943446311
98,104.1892731252058,104.1892731252058
99,103.93375804013162,103.93375804013162
100,103.68349688356594,103.68349688356594
101,103.43823186194656,103.43823186194656
102,103.19772322608017,103.19772322608017
103,102.96174792349984,102.96174792349984
104,102.73009835257892,102.73009835257892
105,102.50258121069022,102.50258121069022
106,102.27901642928641,102.27901642928641
107,102.05923618931841,102.05923618931841
108,101.8430840109085,101.8430840109085
109,101.63041391165812,101.63041391165812
110,101.42108962839484,101.42108962839484
111,101.21498389756015,101.21498389756015
112,101.01197778980023,101.01197778980023
113,100.81196009466201,100.81196009466201
114,100.6148267516052,100.6148267516052
115,100.4204803238281,100.4204803238281
116,100.22882951167277,100.22882951167277
117,100.03978870261729,100.03978870261729
118,99.85327755509114,99.85327755509114
119,99.66922061355936,99.66922061355936
120,99.48754695251293,99.48754695251293
121,99.3081898471831,99.3081898471831
122,99.1310864689623,99.1310864689623
123,98.95617760366632,98.95617760366632
124,98.7834073909141,98.7834073909141
125,98.6127230830319,98.6127230830319
126,98.44407482200843,98.44407482200843
127,98.27741543314023,98.27741543314023
128,98.11270023410793,98.11270023410793
129,97.9498868583203,97.9498868583203
130,97.78893509145063,97.78893509145063
131,97.62980672017102,97.62980672017102
132,97.47246539216589,97.47246539216589
133,97.31687648657464,97.31687648657464
134,97.16300699407789,97.16300699407789
135,97.01082540590154,97.01082540590154
136,96.86030161106734,96.86030161106734
137,96.71140680126913,96.71140680126913
138,96.56411338280104,96.56411338280104
139,96.41839489500693,96.41839489500693
140,96.2742259347617,96.2742259347617
141,96.13158208652963,96.13158208652963
142,95.99043985758173,95.99043985758173
143,95.85077661798377,95.85077661798377
144,95.71257054499726,95.71257054499726
145,95.57580057156211,95.57580057156211
146,95.44044633855334,95.44044633855334
147,95.30648815053112,95.30648815053112
148,95.17390693471962,95.17390693471962
149,95.04268420297464,95.04268420297464
150,94.9128020165148,94.9128020165148
151,94.78424295321012,94.78424295321012
152,94.65699007723607,94.65699007723607
153,94.53102691091635,94.53102691091635
154,94.4063374085908,94.4063374085908
155,94.28290593235724,94.28290593235724
156,94.16071722954652,94.16071722954652
157,94.03975641180259,94.03975641180259
158,93.920008935647,93.920008935647
159,93.80146058441746,93.80146058441746
160,93.68409745147846,93.68409745147846
161,93.56790592460887,93.56790592460887
162,93.45287267147873,93.45287267147873
163,93.33898462613568,93.33898462613568
164,93.2262289764244,93.2262289764244
165,93.11459315227083,93.11459315227083
166,93.00406481476732,93.00406481476732
167,92.89463184599879,92.89463184599879
168,92.78628233955547,92.78628233955547
169,92.6790045916819,92.6790045916819
170,92.57278709301458,92.57278709301458
171,92.46761852086568,92.46761852086568
172,92.36348773201198,92.36348773201198
173,92.26038375595276,92.26038375595276
174,92.15829578860159,92.15829578860159
175,92.05721318638093,92.05721318638093
176,91.95712546068914,91.95712546068914
177,91.85802227271434,91.85802227271434
178,91.75989342856823,91.75989342856823
179,91.66272887471806,91.66272887471806
180,91.56651869369416,91.56651869369416
181,91.4712531000537,91.4712531000537
182,91.3769224365823,91.3769224365823
183,91.28351717071585,91.28351717071585
184,91.19102789116758,91.19102789116758
185,91.09944530474479,91.09944530474479
186,91.00876023334295,91.00876023334295
187,90.91896361110332,90.91896361110332
188,90.83004648172331,90.83004648172331
189,90.74199999590915,90.74199999590915
190,90.65481540895966,90.65481540895966
191,90.5684840784735,90.5684840784735
192,90.48299746217012,90.48299746217012
193,90.39834711581712,90.39834711581712
194,90.31452469125679,90.31452469125679
195,90.23152193452488,90.23152193452488
196,90.1493306840549,90.1493306840549
