epoch,trainingMSE,stdTrainingMSE,testingMSE,stdTestingMSE
0,1856.1430699494088,781.5358917664112,1376.2933328331378,659.684329342033
1,1773.0515017912974,777.0014206087922,1317.5141463504501,612.6858237057356
2,1686.0261480218323,766.501191045384,1253.387085531079,563.8679168882078
3,1594.1389721332202,750.0553449932524,1184.3881301781996,514.6438632344485
4,1495.9653308241157,727.9248150001879,1112.2197434022382,466.6462287564661
5,1389.5664494340942,701.0249811654869,1039.3372515655306,420.5819951833701
6,1274.9369935592438,673.2961994570562,968.5135079992342,376.2053615417334
7,1158.566495286827,652.5628140446802,902.3336920310597,335.4854880439534
8,1051.3195975918375,642.3309262196478,842.0785523016033,303.9847876339682
9,961.9535083808179,635.7260775330292,788.7622766069783,281.7380124993971
10,889.6664710987346,624.7736485300047,742.206396584529,263.67850624382817
11,828.1017347815367,607.1636790779256,700.8522321430592,247.84602308569396
12,772.3988148285619,581.7447293925381,663.581715073113,234.02206878351882
13,719.0670269196717,546.035631866026,629.7196867156432,222.202593324637
14,664.9306002656319,496.0343874634485,598.7681570104049,212.46654073156418
15,608.0031372292879,429.62966860168814,570.4756078507977,205.1352643432512
16,551.7733483018103,357.2531554275342,545.135232997676,200.76391984692296
17,503.48866972087507,297.4839927205511,523.1986906384034,199.50975356627626
18,464.10454362256945,253.21831376959832,504.29571425669445,200.78505856078263
19,431.3697400935111,219.45835808465606,487.67133260831054,203.7567476851141
20,403.81703944665554,192.9701956895014,472.68218059332327,207.5767398373003
21,380.6023451329077,172.1332800147682,458.85593677727445,211.502647148398
22,361.04118134007155,155.90870085937212,445.89203148267467,215.03395761635
23,344.48385624763193,143.40095322187904,433.6305250961459,217.9442645151611
24,330.33750696022935,133.77040156735202,421.99619109406984,220.2081743436014
25,318.09643809808205,126.27018768596429,410.94930848807536,221.90310437832977
26,307.3491764477062,120.28717907556076,400.457718055707,223.13875126669686
27,297.7695419424132,115.34969190473036,390.4862204062618,224.02111101411714
28,289.1017034833398,111.10927536757367,380.99506436470034,224.6393775506849
29,281.1449636886047,107.3131602938987,371.9418281447512,225.06411926689563
30,273.7407619585251,103.77830390693795,363.2839872674762,225.3497234955592
31,266.7626453909414,100.37135047767673,354.98122848864443,225.5377291465127
32,260.1092074779432,96.99514568317994,346.99735358764264,225.65967648749353
33,253.69975222556255,93.58105475641527,339.3018764319105,225.73903775341927
34,247.47234720365122,90.08591932231235,331.8714251012739,225.79218713628393
35,241.3837090903407,86.49211845673246,324.690936437196,225.8285569795098
36,235.4098364918316,82.80846113890742,317.7544246635008,225.8502890214799
37,229.54553286671194,79.0687857619062,311.06488963225314,225.8518880249211
38,223.80055114230098,75.32532759640961,304.6328642942122,225.8205461468135
39,218.19116744831692,71.63661364685797,298.47341685110825,225.7377110335866
40,212.72913383564088,68.05455095579917,292.6022057622448,225.5819066444374
41,207.41349413994408,64.61868269522938,287.0320478263885,225.33192849470058
42,202.2311653910458,61.36273196656651,281.77160012405506,224.96899085679783
43,197.16795353521823,58.32983978580925,276.8267068607017,224.4768709940373
44,192.22546153230672,55.5839383619083,272.2032173334783,223.84047200603612
45,187.43485045303254,53.20204821301189,267.9086885514771,223.0446564063564
46,182.85754524953668,51.242197357161636,263.9502295065367,222.07570669334373
47,178.5678451992267,49.70478568642714,260.3275376784869,220.92650681007325
48,174.62408060154425,48.52107905673184,257.02396310209025,219.60337563128533
49,171.0456441176006,47.582432462520345,254.0016848675244,218.12963092683992
50,167.8097336367569,46.78472859951213,251.20553119778808,216.54221603629
51,164.86570931281267,46.05504658081576,248.57378526363078,214.88294193302897
52,162.15423437234315,45.353534433648385,246.04977889492127,213.18955053568783
53,159.62101363619288,44.663022624850186,243.58919734164257,211.490548719962
54,157.2227828248439,43.978240490524975,241.1620215242548,209.80428954399912
55,154.92786319625722,43.298882619744454,238.75079136666264,208.140664010222
56,152.71422876139488,42.626165555602086,236.3473703813184,206.5036255189987
57,150.56700383248992,41.96143983380458,233.94969890663387,204.89349083231724
58,148.47625681760283,41.30576457473505,231.55920210117125,203.30864312915404
59,146.4353315816252,40.659856536337955,229.17898330815387,201.7466396739096
60,144.4396842601551,40.02415293552601,226.81268849905823,200.20486177863012
61,142.48611115449873,39.398889912984274,224.463860995999,198.68085675925136
62,140.57225208798067,38.784167210139685,222.13562042182957,197.17249028949792
63,138.69627764362994,38.17999474022295,219.83053973013745,195.6779905272401
64,136.85669508382634,37.58632415905693,217.55063398831004,194.19593546693505
65,135.05222915708848,37.00306965921392,215.29740596197576,192.72521412890623
66,133.28174940008654,36.43012149322705,213.07191559709844,191.26497880365872
67,131.5442259532973,35.86735473662504,210.8748549195951,189.8145974110167
68,129.83870268751795,35.314634976631986,208.70661881445173,188.3736102719947
69,128.16428074787325,34.77182202375752,206.5673674286616,186.94169292860056
70,126.52010831661919,34.238772350116854,204.45707890270214,185.51862523625903
71,124.90537406062069,33.715340703651506,202.3755926818689,184.1042662670604
72,123.319302747709,33.20138118504131,200.32264437759224,182.6985342801924
73,121.76115213386367,32.696747971179576,198.29789340393884,181.30139095026598
74,120.23021059487003,32.20129580388079,196.30094462480596,179.9128290862331
75,118.72579519786846,31.714880321048497,194.33136514033342,178.53286316239337
76,117.24725003923835,31.237358281046895,192.38869718825475,177.16152208578782
77,115.79394475176663,30.768587713969804,190.47246797536033,175.79884372443806
