epoch,trainingMSE,testingMSE
0,1359.283651443134,1359.283651443134
1,1321.7033593292672,1321.7033593292672
2,1284.3257914741407,1284.3257914741407
3,1247.3336408562423,1247.3336408562423
4,1210.909381933967,1210.909381933967
5,1175.2272451748318,1175.2272451748318
6,1140.445576902129,1140.445576902129
7,1106.7004509986205,1106.7004509986205
8,1074.1011975590689,1074.1011975590689
9,1042.728185693905,1042.728185693905
10,1012.632833788468,1012.632833788468
11,983.8395124828837,983.8395124828837
12,956.3488143929405,956.3488143929405
13,930.1416060207556,930.1416060207556
14,905.1833286325248,905.1833286325248
15,881.4281331463824,881.4281331463824
16,858.8225752155411,858.8225752155411
17,837.3087277869001,837.3087277869001
18,816.8266715096297,816.8266715096297
19,797.3163933567259,797.3163933567259
20,778.719163853867,778.719163853867
21,760.9784803098001,760.9784803098001
22,744.0406649510268,744.0406649510268
23,727.8551993337087,727.8551993337087
24,712.3748646043086,712.3748646043086
25,697.5557442342057,697.5557442342057
26,683.3571335768702,683.3571335768702
27,669.7413898776584,669.7413898776584
28,656.6737475052861,656.6737475052861
29,644.1221161332427,644.1221161332427
30,632.0568741750119,632.0568741750119
31,620.450665703778,620.450665703778
32,609.278206097797,609.278206097797
33,598.5160995059538,598.5160995059538
34,588.1426697212809,588.1426697212809
35,578.1378050196629,578.1378050196629
36,568.4828168384682,568.4828168384682
37,559.1603117375539,559.1603117375539
38,550.1540758295002,550.1540758295002
39,541.4489707328154,541.4489707328154
40,533.030840051675,533.030840051675
41,524.8864253901123,524.8864253901123
42,517.0032909472977,517.0032909472977
43,509.3697557995638,509.3697557995638
44,501.97483304442505,501.97483304442505
45,494.8081750555302,494.8081750555302
46,487.86002417097916,487.86002417097916
47,481.1211682080621,481.1211682080621
48,474.582900263682,474.582900263682
49,468.2369823206471,468.2369823206471
50,462.0756122353899,462.0756122353899
51,456.09139373246825,456.09139373246825
52,450.2773090756641,450.2773090756641
53,444.62669412496734,444.62669412496734
54,439.13321552359366,439.13321552359366
55,433.79084978989835,433.79084978989835
56,428.5938641159986,428.5938641159986
57,423.53679869855677,423.53679869855677
58,418.61445044785444,418.61445044785444
59,413.821857939361,413.821857939361
60,409.15428748781284,409.15428748781284
61,404.6072202376141,404.6072202376141
62,400.17634017543054,400.17634017543054
63,395.85752298139835,395.85752298139835
64,391.6468256445828,391.6468256445828
65,387.5404767763935,387.5404767763935
66,383.5348675627439,383.5348675627439
67,379.62654330193385,379.62654330193385
68,375.8121954807007,375.8121954807007
69,372.0886543456689,372.0886543456689
70,368.4528819316608,368.4528819316608
71,364.901965512068,364.901965512068
72,361.43311143977047,361.43311143977047
73,358.04363935003647,358.04363935003647
74,354.73097669941706,354.73097669941706
75,351.49265361697036,351.49265361697036
76,348.32629804621655,348.32629804621655
77,345.22963115805925,345.22963115805925
78,342.20046301656754,342.20046301656754
79,339.2366884809939,339.2366884809939
80,336.33628332873644,336.33628332873644
81,333.49730058515854,333.49730058515854
82,330.717867047263,330.717867047263
83,327.9961799892071,327.9961799892071
84,325.3305040385353,325.3305040385353
85,322.71916821281684,322.71916821281684
86,320.1605631071225,320.1605631071225
87,317.653138223444,317.653138223444
88,315.195399433781,315.195399433781
89,312.78590656918504,312.78590656918504
90,310.42327112757454,310.42327112757454
91,308.10615409360486,308.10615409360486
92,305.8332638643256,305.8332638643256
93,303.6033542747583,303.6033542747583
94,301.41522271790365,301.41522271790365
95,299.26770835403596,299.26770835403596
96,297.1596904044601,297.1596904044601
97,295.0900865252074,295.0900865252074
98,293.0578512564201,293.0578512564201
99,291.06197454343464,291.06197454343464
100,289.1014803258081,289.1014803258081
101,287.1754251907578,287.1754251907578
102,285.28289708769154,285.28289708769154
103,283.42301410069774,283.42301410069774
104,281.59492327604477,281.59492327604477
105,279.7977995019111,279.7977995019111
106,278.03084443772224,278.03084443772224
107,276.2932854906179,276.2932854906179
108,274.58437483671617,274.58437483671617
109,272.90338848496214,272.90338848496214
110,271.24962538148134,271.24962538148134
111,269.62240655246154,269.62240655246154
112,268.02107428370084,268.02107428370084
113,266.4449913350576,266.4449913350576
114,264.8935401881322,264.8935401881322
115,263.36612232560236,263.36612232560236
116,261.8621575407113,261.8621575407113
117,260.38108327549514,260.38108327549514
118,258.92235398640196,258.92235398640196
119,257.48544053603104,257.48544053603104
120,256.06982960978195,256.06982960978195
121,254.6750231562691,254.6750231562691
122,253.3005378504122,253.3005378504122
123,251.94590457817267,251.94590457817267
124,250.61066794195327,250.61066794195327
125,249.29438578573095,249.29438578573095
126,247.99662873903975,247.99662873903975
127,246.7169797789606,246.7169797789606
128,245.45503380932138,245.45503380932138
129,244.21039725634606,244.21039725634606
130,242.98268768003138,242.98268768003138
131,241.7715334005636,241.7715334005636
132,240.57657313912003,240.57657313912003
133,239.39745567243475,239.39745567243475
134,238.23383950053463,238.23383950053463
135,237.08539252708118,237.08539252708118
136,235.95179175178188,235.95179175178188
137,234.8327229743565,234.8327229743565
138,233.72788050957345,233.72788050957345
139,232.6369669128871,232.6369669128871
140,231.55969271623576,231.55969271623576
141,230.49577617357585,230.49577617357585
142,229.44494301574846,229.44494301574846
143,228.40692621429415,228.40692621429415
144,227.3814657538475,227.3814657538475
145,226.3683084127615,226.3683084127615
146,225.36720755162764,225.36720755162764
147,224.37792290936963,224.37792290936963
148,223.40022040660864,223.40022040660864
149,222.43387195600462,222.43387195600462
150,221.47865527929875,221.47865527929875
151,220.5343537307874,220.5343537307874
152,219.60075612697491,219.60075612697491
153,218.6776565821613,218.6776565821613
154,217.7648543497303,217.7648543497303
155,216.86215366891915,216.86215366891915
156,215.96936361685138,215.96936361685138
