epoch,trainingAccuracy,testingAccuracy
0,0.2,0.2
1,0.5,0.4
2,0.5,0.5
3,0.7,0.6
4,0.7,0.7
5,0.7,0.7
6,0.8,0.8
7,0.9,0.9
8,0.9,0.9
9,0.9,0.9
10,0.9,0.9
11,0.9,0.9
12,0.9,0.9
13,0.9,0.9
14,0.9,0.9
15,0.9,0.9
16,0.9,0.9
17,0.9,0.9
18,0.9,0.9
19,0.9,0.9
20,0.9,0.9
21,0.9,0.9
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
