epoch,trainingAccuracy,stdTrainingAccuracy,testingAccuracy,stdTestingAccuracy
0,0.675,0.1695582495781317,0.4,0.37416573867739417
1,0.7,0.1695582495781317,0.4,0.37416573867739417
2,0.75,0.2091650066335189,0.3,0.24494897427831783
3,0.75,0.2091650066335189,0.3,0.24494897427831783
4,0.75,0.2091650066335189,0.3,0.24494897427831783
5,0.75,0.2091650066335189,0.3,0.24494897427831783
6,0.75,0.2091650066335189,0.3,0.24494897427831783
7,0.75,0.2091650066335189,0.3,0.24494897427831783
8,0.75,0.2091650066335189,0.3,0.24494897427831783
9,0.75,0.2091650066335189,0.3,0.24494897427831783
10,0.75,0.2091650066335189,0.3,0.24494897427831783
11,0.75,0.2091650066335189,0.3,0.24494897427831783
12,0.75,0.2091650066335189,0.3,0.24494897427831783
13,0.75,0.2091650066335189,0.3,0.24494897427831783
14,0.75,0.2091650066335189,0.3,0.24494897427831783
15,0.75,0.2091650066335189,0.3,0.24494897427831783
16,0.75,0.2091650066335189,0.3,0.24494897427831783
17,0.75,0.2091650066335189,0.3,0.24494897427831783
18,0.75,0.2091650066335189,0.3,0.24494897427831783
19,0.75,0.2091650066335189,0.3,0.24494897427831783
20,0.75,0.2091650066335189,0.3,0.24494897427831783
21,0.75,0.2091650066335189,0.3,0.24494897427831783
22,0.75,0.2091650066335189,0.3,0.24494897427831783
23,0.75,0.2091650066335189,0.3,0.24494897427831783
24,0.75,0.2091650066335189,0.3,0.24494897427831783
25,0.75,0.2091650066335189,0.3,0.24494897427831783
26,0.775,0.2,0.3,0.24494897427831783
27,0.775,0.2,0.3,0.24494897427831783
28,0.775,0.2,0.3,0.24494897427831783
29,0.775,0.2,0.3,0.24494897427831783
30,0.775,0.2,0.3,0.24494897427831783
31,0.775,0.2,0.3,0.24494897427831783
32,0.775,0.2,0.3,0.24494897427831783
33,0.775,0.2,0.3,0.24494897427831783
34,0.775,0.2,0.3,0.24494897427831783
35,0.775,0.2,0.3,0.24494897427831783
36,0.775,0.2,0.3,0.24494897427831783
37,0.775,0.2,0.3,0.24494897427831783
38,0.775,0.2,0.3,0.24494897427831783
39,0.775,0.2,0.3,0.24494897427831783
40,0.775,0.2,0.3,0.24494897427831783
41,0.775,0.2,0.3,0.24494897427831783
42,0.775,0.2,0.3,0.24494897427831783
43,0.775,0.2,0.3,0.24494897427831783
44,0.775,0.2,0.3,0.24494897427831783
45,0.775,0.2,0.3,0.24494897427831783
46,0.775,0.2,0.3,0.24494897427831783
47,0.775,0.2,0.3,0.24494897427831783
48,0.775,0.2,0.3,0.24494897427831783
49,0.775,0.2,0.3,0.24494897427831783
50,0.775,0.2,0.3,0.24494897427831783
51,0.775,0.2,0.3,0.24494897427831783
52,0.775,0.2,0.3,0.24494897427831783
53,0.775,0.2,0.3,0.24494897427831783
54,0.775,0.2,0.3,0.24494897427831783
55,0.775,0.2,0.4,0.2
56,0.775,0.2,0.4,0.2
57,0.775,0.2,0.4,0.2
58,0.775,0.2,0.4,0.2
59,0.775,0.2,0.4,0.2
60,0.775,0.2,0.4,0.2
61,0.775,0.2,0.4,0.2
62,0.775,0.2,0.4,0.2
63,0.775,0.2,0.4,0.2
