epoch,trainingAccuracy,stdTrainingAccuracy,testingAccuracy,stdTestingAccuracy
0,0.6,0.28939592256975566,0.3,0.39999999999999997
1,0.725,0.2783882181415011,0.3,0.39999999999999997
2,0.725,0.2150581316760657,0.2,0.24494897427831783
3,0.775,0.22912878474779197,0.3,0.24494897427831783
4,0.825,0.15,0.5,0.31622776601683794
5,0.85,0.1457737973711325,0.5,0.31622776601683794
6,0.875,0.15811388300841897,0.5,0.31622776601683794
7,0.875,0.15811388300841897,0.5,0.31622776601683794
8,0.925,0.1,0.6,0.37416573867739417
9,0.925,0.1,0.6,0.37416573867739417
10,0.925,0.1,0.6,0.37416573867739417
11,0.9,0.1224744871391589,0.6,0.37416573867739417
12,0.925,0.1,0.6,0.37416573867739417
13,0.95,0.09999999999999999,0.6,0.37416573867739417
14,0.95,0.09999999999999999,0.6,0.37416573867739417
15,0.95,0.09999999999999999,0.6,0.37416573867739417
